,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
111,FDS52,8.89,low fat,0.0055,frozen foods,102.4,OUT017,2007,medium,Tier 2,supermarket type1,2732.44
112,FDW39,12.86,regular,0.0646,meat,176.94,OUT019,1985,small,Tier 1,grocery store,176.44
113,FDX34,12.86,low fat,0.0716,snack foods,121.71,OUT027,1985,medium,Tier 3,supermarket type3,4097.33
114,FDV11,9.1,regular,0.0,breads,173.21,OUT045,2002,medium,Tier 2,supermarket type1,3151.9
115,FDD17,7.5,low fat,0.0327,frozen foods,239.09,OUT049,1999,medium,Tier 1,supermarket type1,5942.26
116,FDZ16,16.85,regular,0.1608,frozen foods,192.45,OUT017,2007,medium,Tier 2,supermarket type1,4843.7
117,FDZ46,7.48,low fat,0.0691,snack foods,109.02,OUT035,2004,small,Tier 2,supermarket type1,2542.02
118,DRA12,11.6,low fat,0.0412,soft drinks,140.32,OUT017,2007,medium,Tier 2,supermarket type1,2552.68
119,FDY58,11.65,low fat,0.0401,snack foods,227.07,OUT018,2009,medium,Tier 3,supermarket type2,1141.85
120,NCF19,13.0,low fat,0.0353,household,47.5,OUT017,2007,medium,Tier 2,supermarket type1,680.45
121,DRJ13,12.65,low fat,0.063,soft drinks,159.06,OUT045,2002,medium,Tier 2,supermarket type1,2085.95
122,FDB14,20.25,regular,0.1719,canned,92.51,OUT010,1998,medium,Tier 3,grocery store,186.42
123,FDJ38,8.6,regular,0.0402,canned,190.15,OUT035,2004,small,Tier 2,supermarket type1,3036.05
124,FDW11,12.6,low fat,0.0491,breads,62.72,OUT017,2007,medium,Tier 2,supermarket type1,866.87
125,FDL40,17.7,low fat,0.0116,frozen foods,95.04,OUT035,2004,small,Tier 2,supermarket type1,868.87
126,DRI49,14.15,low fat,0.1835,soft drinks,82.43,OUT046,1997,small,Tier 1,supermarket type1,1137.19
127,FDV38,19.25,low fat,0.1023,dairy,52.8,OUT017,2007,medium,Tier 2,supermarket type1,928.13
128,DRG23,8.88,low fat,0.0867,hard drinks,151.77,OUT013,1987,high,Tier 3,supermarket type1,762.34
129,NCP30,20.5,low fat,0.0328,household,40.28,OUT045,2002,medium,Tier 2,supermarket type1,707.08
131,NCH54,13.5,low fat,0.0727,household,160.29,OUT046,1997,small,Tier 1,supermarket type1,1438.13
133,FDS52,8.89,low fat,0.0092,frozen foods,101.7,OUT010,1998,medium,Tier 3,grocery store,101.2
134,FDG02,7.86,low fat,0.0113,canned,188.52,OUT018,2009,medium,Tier 3,supermarket type2,952.09
135,NCO26,7.24,low fat,0.0769,household,116.05,OUT046,1997,small,Tier 1,supermarket type1,1969.44
136,FDH35,12.86,low fat,0.06,starchy foods,165.45,OUT027,1985,medium,Tier 3,supermarket type3,5262.48
137,FDB51,6.92,low fat,0.0385,dairy,60.59,OUT045,2002,medium,Tier 2,supermarket type1,1314.29
138,FDX44,9.3,low fat,0.0432,fruits and vegetables,90.82,OUT017,2007,medium,Tier 2,supermarket type1,535.3
139,NCN07,18.5,low fat,0.0568,others,132.13,OUT010,1998,medium,Tier 3,grocery store,263.66
140,NCC31,8.02,low fat,0.0199,household,154.6,OUT035,2004,small,Tier 2,supermarket type1,1402.17
141,NCX54,9.2,low fat,0.0483,household,105.16,OUT017,2007,medium,Tier 2,supermarket type1,1693.8
142,NCO55,12.8,low fat,0.0912,others,105.59,OUT045,2002,medium,Tier 2,supermarket type1,2143.88
143,NCC30,16.6,low fat,0.0276,household,177.63,OUT049,1999,medium,Tier 1,supermarket type1,2676.52
144,FDI16,14.0,regular,0.0,frozen foods,53.06,OUT035,2004,small,Tier 2,supermarket type1,905.49
147,NCB06,17.6,low fat,0.0823,health and hygiene,160.69,OUT035,2004,small,Tier 2,supermarket type1,1597.92
148,FDA45,21.25,low fat,0.1554,snack foods,178.24,OUT035,2004,small,Tier 2,supermarket type1,529.31
149,NCO26,7.24,low fat,0.0768,household,117.55,OUT035,2004,small,Tier 2,supermarket type1,1969.44
150,DRJ25,14.6,low fat,0.1514,soft drinks,50.37,OUT017,2007,medium,Tier 2,supermarket type1,1034.65
151,FDR28,13.85,regular,0.026,frozen foods,161.52,OUT018,2009,medium,Tier 3,supermarket type2,1794.33
152,FDI04,13.65,regular,0.0732,frozen foods,197.64,OUT018,2009,medium,Tier 3,supermarket type2,2768.4
153,DRK12,12.86,low fat,0.0417,soft drinks,31.29,OUT027,1985,medium,Tier 3,supermarket type3,898.83
154,FDX20,7.36,low fat,0.0426,fruits and vegetables,226.17,OUT046,1997,small,Tier 1,supermarket type1,3169.21
155,NCI18,18.35,low fat,0.0141,household,223.57,OUT018,2009,medium,Tier 3,supermarket type2,3589.99
156,FDB36,5.46,regular,0.0,baking goods,132.56,OUT018,2009,medium,Tier 3,supermarket type2,262.33
157,FDN13,18.6,low fat,0.1529,breakfast,99.84,OUT017,2007,medium,Tier 2,supermarket type1,1910.18
158,DRD24,13.85,low fat,0.031,soft drinks,140.92,OUT017,2007,medium,Tier 2,supermarket type1,1701.78
159,FDQ28,14.0,regular,0.0604,frozen foods,154.57,OUT013,1987,high,Tier 3,supermarket type1,2471.45
160,FDM22,14.0,regular,0.0419,snack foods,54.76,OUT013,1987,high,Tier 3,supermarket type1,1331.6
161,FDR07,12.86,low fat,0.0774,fruits and vegetables,97.01,OUT027,1985,medium,Tier 3,supermarket type3,1808.98
162,FDV25,5.9,low fat,0.0458,canned,222.55,OUT018,2009,medium,Tier 3,supermarket type2,3315.68
163,DRF49,7.27,low fat,0.0711,soft drinks,114.25,OUT046,1997,small,Tier 1,supermarket type1,2618.59
164,FDW51,6.16,regular,0.0947,meat,214.56,OUT046,1997,small,Tier 1,supermarket type1,2769.73
165,DRL01,19.5,regular,0.0776,soft drinks,233.5,OUT017,2007,medium,Tier 2,supermarket type1,5375.0
166,FDP25,15.2,low fat,0.0213,canned,216.88,OUT017,2007,medium,Tier 2,supermarket type1,2838.97
167,FDL50,12.15,regular,0.0425,canned,125.0,OUT018,2009,medium,Tier 3,supermarket type2,1743.06
168,NCB30,12.86,low fat,0.0256,household,198.81,OUT027,1985,medium,Tier 3,supermarket type3,5555.44
169,FDW11,12.6,low fat,0.049,breads,61.92,OUT018,2009,medium,Tier 3,supermarket type2,619.19
170,NCM43,14.5,low fat,0.0195,others,164.82,OUT035,2004,small,Tier 2,supermarket type1,2120.57
171,FDK44,16.6,low fat,0.1229,fruits and vegetables,173.07,OUT017,2007,medium,Tier 2,supermarket type1,3823.02
172,FDM15,11.8,regular,0.0574,meat,151.44,OUT013,1987,high,Tier 3,supermarket type1,1360.23
173,FDS31,13.1,regular,0.0442,fruits and vegetables,178.83,OUT013,1987,high,Tier 3,supermarket type1,3969.5
175,FDR47,17.85,low fat,0.0,breads,196.58,OUT010,1998,medium,Tier 3,grocery store,585.24
176,FDB35,12.3,regular,0.0648,starchy foods,92.68,OUT045,2002,medium,Tier 2,supermarket type1,1010.68
177,NCU05,11.8,low fat,0.0983,health and hygiene,81.46,OUT010,1998,medium,Tier 3,grocery store,161.12
178,DRY23,12.86,regular,0.191,soft drinks,42.11,OUT019,1985,small,Tier 1,grocery store,42.61
179,FDO24,11.1,low fat,0.1766,baking goods,157.46,OUT045,2002,medium,Tier 2,supermarket type1,3010.75
180,FDQ28,12.86,regular,0.0601,frozen foods,153.07,OUT027,1985,medium,Tier 3,supermarket type3,6024.16
181,FDV39,11.3,low fat,0.0073,meat,198.14,OUT045,2002,medium,Tier 2,supermarket type1,988.71
182,NCO17,12.86,low fat,0.1285,health and hygiene,117.94,OUT019,1985,small,Tier 1,grocery store,239.69
183,FDU50,5.75,regular,0.0751,dairy,112.82,OUT013,1987,high,Tier 3,supermarket type1,1374.21
184,FDT12,12.86,regular,0.0494,baking goods,226.81,OUT027,1985,medium,Tier 3,supermarket type3,4739.83
185,FDK58,11.35,regular,0.0452,snack foods,100.0,OUT018,2009,medium,Tier 3,supermarket type2,1012.02
186,FDO08,12.86,regular,0.0942,fruits and vegetables,165.75,OUT019,1985,small,Tier 1,grocery store,657.81
187,NCW29,14.0,low fat,0.0289,health and hygiene,130.43,OUT049,1999,medium,Tier 1,supermarket type1,778.99
188,FDE04,19.75,regular,0.0181,frozen foods,179.77,OUT045,2002,medium,Tier 2,supermarket type1,2336.96
189,NCB19,6.52,low fat,0.0904,household,85.09,OUT049,1999,medium,Tier 1,supermarket type1,2233.09
190,FDV15,10.3,low fat,0.1464,meat,103.96,OUT049,1999,medium,Tier 1,supermarket type1,1661.84
191,FDL58,5.78,regular,0.0743,snack foods,264.76,OUT049,1999,medium,Tier 1,supermarket type1,4745.82
192,FDA08,11.85,regular,0.0502,fruits and vegetables,164.15,OUT045,2002,medium,Tier 2,supermarket type1,3124.6
193,FDT43,16.35,low fat,0.0206,fruits and vegetables,50.13,OUT018,2009,medium,Tier 3,supermarket type2,467.39
194,NCX06,12.86,low fat,0.0156,household,182.6,OUT027,1985,medium,Tier 3,supermarket type3,5070.73
195,FDT20,10.5,low fat,0.0414,fruits and vegetables,37.62,OUT046,1997,small,Tier 1,supermarket type1,540.63
196,FDB41,19.0,regular,0.0973,frozen foods,48.07,OUT046,1997,small,Tier 1,supermarket type1,992.71
197,NCN55,14.6,low fat,0.0596,others,238.85,OUT049,1999,medium,Tier 1,supermarket type1,6008.84
198,FDE40,12.86,regular,0.0987,dairy,62.92,OUT027,1985,medium,Tier 3,supermarket type3,2105.26
199,FDX49,12.86,regular,0.1013,canned,232.63,OUT027,1985,medium,Tier 3,supermarket type3,5359.69
200,NCM53,18.75,low fat,0.0521,health and hygiene,104.63,OUT045,2002,medium,Tier 2,supermarket type1,745.7
201,FDE36,5.26,regular,0.0418,baking goods,161.89,OUT035,2004,small,Tier 2,supermarket type1,3275.74
202,FDN57,18.25,low fat,0.0543,snack foods,140.22,OUT045,2002,medium,Tier 2,supermarket type1,1701.78
204,FDI19,15.1,low fat,0.0523,meat,242.75,OUT046,1997,small,Tier 1,supermarket type1,4119.97
205,FDF24,15.5,regular,0.0425,baking goods,81.59,OUT010,1998,medium,Tier 3,grocery store,327.57
206,FDG52,13.65,low fat,0.0657,frozen foods,45.74,OUT049,1999,medium,Tier 1,supermarket type1,780.98
207,DRF36,16.1,low fat,0.0236,soft drinks,189.38,OUT045,2002,medium,Tier 2,supermarket type1,3630.61
208,FDS45,12.86,regular,0.0516,snack foods,107.36,OUT019,1985,small,Tier 1,grocery store,317.59
209,FDX40,12.85,low fat,0.1657,frozen foods,39.72,OUT010,1998,medium,Tier 3,grocery store,231.7
210,DRK12,9.5,low fat,0.0419,soft drinks,32.99,OUT035,2004,small,Tier 2,supermarket type1,133.16
211,DRC27,13.8,low fat,0.0581,dairy,245.18,OUT035,2004,small,Tier 2,supermarket type1,5650.64
212,FDL58,5.78,regular,0.0,snack foods,263.76,OUT017,2007,medium,Tier 2,supermarket type1,2636.57
213,NCD30,19.7,low fat,0.0269,household,96.07,OUT045,2002,medium,Tier 2,supermarket type1,1272.34
214,NCZ54,14.65,low fat,0.0,household,161.56,OUT010,1998,medium,Tier 3,grocery store,324.91
215,FDE10,6.67,regular,0.1506,snack foods,130.06,OUT010,1998,medium,Tier 3,grocery store,131.16
216,FDR44,6.11,regular,0.0,fruits and vegetables,131.3,OUT010,1998,medium,Tier 3,grocery store,260.99
217,FDP28,13.65,regular,0.135,frozen foods,260.09,OUT010,1998,medium,Tier 3,grocery store,260.99
218,FDX15,17.2,low fat,0.1562,meat,160.66,OUT013,1987,high,Tier 3,supermarket type1,3690.53
219,FDA39,6.32,low fat,0.0,meat,40.28,OUT035,2004,small,Tier 2,supermarket type1,1139.18
220,FDY24,4.88,regular,0.1337,baking goods,52.93,OUT049,1999,medium,Tier 1,supermarket type1,1995.4
221,FDC60,5.42,regular,0.1151,baking goods,88.35,OUT017,2007,medium,Tier 2,supermarket type1,1416.82
222,FDH28,15.85,regular,0.11,frozen foods,37.25,OUT046,1997,small,Tier 1,supermarket type1,265.65
223,FDT25,7.5,low fat,0.051,canned,121.71,OUT017,2007,medium,Tier 2,supermarket type1,3552.71
224,DRJ13,12.65,low fat,0.0628,soft drinks,161.56,OUT013,1987,high,Tier 3,supermarket type1,2406.87
225,NCO07,12.86,low fat,0.0171,others,211.96,OUT019,1985,small,Tier 1,grocery store,213.06
226,FDW20,20.75,low fat,0.0241,fruits and vegetables,124.17,OUT013,1987,high,Tier 3,supermarket type1,2956.15
227,DRF27,12.86,low fat,0.0498,dairy,152.13,OUT019,1985,small,Tier 1,grocery store,153.13
228,FDS49,9.0,low fat,0.0,canned,79.76,OUT035,2004,small,Tier 2,supermarket type1,1649.85
229,FDX25,12.86,low fat,0.1016,canned,181.93,OUT027,1985,medium,Tier 3,supermarket type3,3101.3
230,NCX42,12.86,low fat,0.0059,household,165.65,OUT027,1985,medium,Tier 3,supermarket type3,4769.13
231,FDG33,12.86,regular,0.1396,seafood,170.48,OUT027,1985,medium,Tier 3,supermarket type3,3435.53
232,FDL56,14.1,low fat,0.126,fruits and vegetables,86.42,OUT045,2002,medium,Tier 2,supermarket type1,1133.86
233,FDF14,7.55,low fat,0.0272,canned,152.33,OUT035,2004,small,Tier 2,supermarket type1,2603.28
234,NCD06,13.0,low fat,0.0993,household,45.41,OUT046,1997,small,Tier 1,supermarket type1,605.88
235,DRM47,12.86,low fat,0.0436,hard drinks,192.88,OUT027,1985,medium,Tier 3,supermarket type3,2293.02
236,FDS46,12.86,regular,0.0827,snack foods,118.78,OUT019,1985,small,Tier 1,grocery store,119.18
237,FDB35,12.3,regular,0.0646,starchy foods,92.98,OUT013,1987,high,Tier 3,supermarket type1,1929.49
238,FDX21,12.86,low fat,0.0846,snack foods,109.89,OUT027,1985,medium,Tier 3,supermarket type3,2074.63
239,NCU05,12.86,low fat,0.0585,health and hygiene,79.96,OUT027,1985,medium,Tier 3,supermarket type3,241.69
241,NCR18,15.85,low fat,0.0206,household,42.71,OUT017,2007,medium,Tier 2,supermarket type1,639.17
242,NCU41,18.85,low fat,0.052,health and hygiene,192.18,OUT035,2004,small,Tier 2,supermarket type1,3248.44
244,DRJ51,14.1,low fat,0.088,dairy,229.07,OUT035,2004,small,Tier 2,supermarket type1,3225.14
245,FDK21,7.9,low fat,0.01,snack foods,249.04,OUT035,2004,small,Tier 2,supermarket type1,3755.11
246,FDY25,12.0,low fat,0.0339,canned,179.4,OUT013,1987,high,Tier 3,supermarket type1,3440.85
247,FDU44,12.15,regular,0.0584,fruits and vegetables,163.46,OUT035,2004,small,Tier 2,supermarket type1,974.73
248,FDL43,10.1,low fat,0.0271,meat,75.37,OUT049,1999,medium,Tier 1,supermarket type1,535.97
249,FDF05,17.5,low fat,0.027,frozen foods,262.49,OUT017,2007,medium,Tier 2,supermarket type1,5259.82
250,DRF15,12.86,low fat,0.0582,dairy,152.03,OUT019,1985,small,Tier 1,grocery store,306.27
251,FDL20,17.1,low fat,0.1289,fruits and vegetables,112.39,OUT018,2009,medium,Tier 3,supermarket type2,1779.02
252,FDV32,7.78,low fat,0.0888,fruits and vegetables,61.45,OUT049,1999,medium,Tier 1,supermarket type1,759.01
253,FDJ34,11.8,regular,0.0936,snack foods,125.97,OUT013,1987,high,Tier 3,supermarket type1,1877.56
254,FDG08,13.15,regular,0.1657,fruits and vegetables,171.88,OUT045,2002,medium,Tier 2,supermarket type1,3779.08
255,FDQ04,12.86,low fat,0.1484,frozen foods,41.58,OUT019,1985,small,Tier 1,grocery store,41.28
